case_id,cascade_strict_tp,cascade_n_pipeline,cascade_n_silver,cascade_n_matched,sonnet_strict_tp,sonnet_n_pipeline,sonnet_n_silver,sonnet_n_matched
PMC4282325_his0064-0567|19302,5.0,9,15,9,5.0,9,15,9
PMC4282325_his0064-0567|19303,3.5,6,9,6,3.5,6,9,6
PMC4282325_his0064-0567|19304,0.0,0,0,0,0.0,0,0,0
PMC4282325_his0064-0567|19305,3.5,5,11,5,3.5,5,11,5
PMC4282325_his0064-0567|19307,6.0,8,8,8,6.0,8,8,8
PMC4282325_his0064-0567|19308,5.0,7,7,7,5.0,7,7,7
PMC4282325_his0064-0567|19309,1.0,3,1,1,1.0,3,1,1
PMC4282325_his0064-0567|19310,2.5,4,3,3,2.5,4,3,3
PMC4282325_his0064-0567|19311,5.0,12,10,10,5.0,12,10,10
PMC4282325_his0064-0567|19312,3.5,7,5,5,3.5,7,5,5
PMC4282325_his0064-0567|19313,2.5,4,9,4,2.5,4,9,4
PMC4282325_his0064-0567|19314,3.5,7,4,4,3.5,7,4,4
PMC4282325_his0064-0567|19315,2.5,3,3,3,2.5,3,3,3
PMC4282325_his0064-0567|19316,5.0,8,6,6,5.0,8,6,6
PMC4282325_his0064-0567|19317,3.0,7,3,3,3.0,7,3,3
PMC4282325_his0064-0567|19318,4.0,6,8,6,4.0,6,8,6
PMC4282325_his0064-0567|19319,5.5,8,7,7,5.5,8,7,7
PMC4282325_his0064-0567|19320,1.0,2,2,2,1.0,2,2,2
PMC4282325_his0064-0567|19321,2.5,4,5,3,2.5,4,5,3
PMC4282326_his0065-0429|7327,2.0,3,3,3,2.0,3,3,3
PMC4282326_his0065-0429|7331,0.0,0,0,0,0.0,0,0,0
PMC4282326_his0065-0429|7332,1.5,3,3,3,1.5,3,3,3
PMC4282326_his0065-0429|7333,2.0,2,2,2,1.5,2,2,2
PMC4282326_his0065-0429|7334,3.5,4,4,4,3.5,4,4,4
PMC4282326_his0065-0429|7336,0.0,0,0,0,0.0,0,0,0
PMC4282326_his0065-0429|7337,1.0,2,2,2,1.0,2,2,2
PMC4282326_his0065-0429|7338,0.0,4,0,0,0.0,4,0,0
PMC4282326_his0065-0429|7339,2.5,3,3,3,2.5,3,3,3
PMC4282326_his0065-0429|7340,4.0,6,5,5,4.0,6,5,5
PMC4282326_his0065-0429|7341,0.0,0,0,0,0.0,0,0,0
PMC4282326_his0065-0429|7343,2.5,3,3,3,2.5,3,3,3
PMC4282326_his0065-0429|7344,3.0,4,4,4,3.0,4,4,4
PMC4282326_his0065-0429|7347,2.5,5,3,3,2.5,5,3,3
PMC4329418_his0066-0409|21408,0.0,3,0,0,0.0,3,0,0
PMC4329418_his0066-0409|21409,9.0,11,10,10,9.0,11,10,10
PMC4329418_his0066-0409|21410,4.5,6,6,6,4.5,6,6,6
PMC4329418_his0066-0409|21412,4.0,4,4,4,4.0,4,4,4
PMC4329418_his0066-0409|21414,2.5,3,8,3,2.5,3,8,3
PMC4329418_his0066-0409|21415,4.0,5,5,5,4.0,5,5,5
PMC4329418_his0066-0409|21416,0.0,0,0,0,0.0,0,0,0
PMC4329418_his0066-0409|21417,3.5,5,4,4,3.5,5,4,4
PMC4329418_his0066-0409|21418,4.0,11,4,4,4.0,11,4,4
PMC4329418_his0066-0409|21420,9.0,10,10,10,9.0,10,10,10
PMC4329418_his0066-0409|21425,0.0,0,0,0,0.0,0,0,0
PMC4329418_his0066-0409|21426,1.5,2,4,2,2.0,5,4,3
PMC4329418_his0066-0409|21428,4.0,4,4,4,4.0,4,4,4
PMC4329418_his0066-0409|21436,4.0,4,5,4,4.0,4,5,4
PMC4329418_his0066-0409|21437,2.5,3,4,3,2.5,3,4,3
PMC4329418_his0066-0409|21438,3.0,4,4,4,3.0,4,4,4
PMC4329418_his0066-0409|21442,5.0,8,6,6,5.0,8,6,6
PMC6635746_HIS-73-68|30581,0.0,0,0,0,0.0,0,0,0
PMC6635746_HIS-73-68|30584,7.0,8,9,8,7.0,8,9,8
PMC6635746_HIS-73-68|30585,5.0,7,5,5,5.0,7,5,5
PMC6635746_HIS-73-68|30586,0.5,1,1,1,0.5,1,1,1
PMC6635746_HIS-73-68|30589,8.0,11,12,11,8.0,11,12,11
PMC6635746_HIS-73-68|30590,3.5,6,9,6,3.5,6,9,6
PMC6635746_HIS-73-68|30591,0.0,0,0,0,0.0,0,0,0
PMC6635746_HIS-73-68|30592,0.0,2,0,0,0.0,2,0,0
PMC6635746_HIS-73-68|30593,7.0,15,11,11,7.0,15,11,11
PMC6635746_HIS-73-68|30594,0.0,4,0,0,0.0,4,0,0
PMC6635746_HIS-73-68|30597,5.0,10,8,8,5.0,10,8,8
PMC6635746_HIS-73-68|30598,5.5,6,10,6,5.5,6,10,6
PMC6635746_HIS-73-68|30599,0.0,0,0,0,0.0,0,0,0
