case_id,cascade_strict_tp,cascade_n_pipeline,cascade_n_silver,cascade_n_matched,sonnet_strict_tp,sonnet_n_pipeline,sonnet_n_silver,sonnet_n_matched
PMC8395860_dermatopathology-08-00043|27621,4.5,6,7,6,4.5,6,7,6
PMC8395860_dermatopathology-08-00043|27626,4.0,6,8,6,4.0,6,8,6
PMC8395860_dermatopathology-08-00043|27627,6.5,7,7,7,6.5,7,7,7
PMC8395860_dermatopathology-08-00043|27630,3.5,7,7,7,5.5,7,7,6
PMC8395860_dermatopathology-08-00043|27633,13.0,15,16,15,13.0,15,16,15
PMC8395860_dermatopathology-08-00043|27635,8.0,9,10,9,8.0,9,10,9
PMC8395860_dermatopathology-08-00043|27636,9.0,9,9,9,9.0,9,9,9
PMC8395860_dermatopathology-08-00043|27637,6.5,7,7,7,6.5,7,7,7
PMC8395860_dermatopathology-08-00043|27640,3.5,4,5,4,3.5,4,5,4
PMC8395860_dermatopathology-08-00043|27642,4.0,5,5,5,4.0,5,5,5
PMC8395860_dermatopathology-08-00043|27645,6.0,10,8,8,6.0,10,8,8
PMC8395860_dermatopathology-08-00043|27646,6.0,8,6,6,6.0,8,6,6
PMC8395860_dermatopathology-08-00043|27648,11.5,14,14,14,13.5,14,14,14
PMC8395860_dermatopathology-08-00043|27650,5.5,6,6,6,5.5,6,6,6
PMC8395860_dermatopathology-08-00043|27653,4.5,9,5,5,4.5,9,5,5
PMC8395860_dermatopathology-08-00043|27656,4.0,9,5,5,4.0,9,5,5
PMC8395860_dermatopathology-08-00043|27657,2.5,3,4,3,2.5,3,4,3
PMC8395860_dermatopathology-08-00043|27658,3.0,4,6,4,3.0,4,6,4
PMC8395860_dermatopathology-08-00043|27660,11.0,16,15,15,11.0,16,15,15
PMC8395860_dermatopathology-08-00043|27662,7.5,9,8,8,7.5,9,8,8
PMC8395860_dermatopathology-08-00043|27664,12.5,17,13,13,12.5,17,13,13
PMC8395860_dermatopathology-08-00043|27667,12.5,14,15,14,12.5,14,15,14
PMC8395860_dermatopathology-08-00043|27668,9.0,9,9,9,9.0,9,9,9
PMC8395860_dermatopathology-08-00043|27669,4.0,7,4,4,4.0,7,4,4
PMC8395860_dermatopathology-08-00043|27670,4.5,5,5,5,4.5,5,5,5
PMC8395860_dermatopathology-08-00043|27671,6.5,8,7,7,6.5,8,7,7
PMC8395860_dermatopathology-08-00043|27673,4.0,4,4,4,4.0,4,4,4
PMC8395860_dermatopathology-08-00043|27674,6.5,7,7,7,6.5,7,7,7
PMC8395860_dermatopathology-08-00043|27675,3.5,4,4,4,3.5,4,4,4
PMC8395860_dermatopathology-08-00043|27676,4.0,5,5,5,4.0,5,5,5
PMC8395860_dermatopathology-08-00043|27678,2.5,3,3,3,2.5,3,3,3
PMC8395933_dermatopathology-08-00035|27500,15.0,27,19,19,15.0,27,19,19
PMC8395933_dermatopathology-08-00035|27501,0.0,0,0,0,0.0,0,0,0
PMC8395933_dermatopathology-08-00035|27502,12.5,16,15,15,12.5,16,15,15
PMC8395933_dermatopathology-08-00035|27503,8.0,10,9,9,8.0,10,9,9
